instrument_key,instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|42961,NSE_INDEX|Nifty 50,24150.0,CE,535.65,300258.8,53565.0
NSE_FO|42962,NSE_INDEX|Nifty 50,24150.0,PE,298.4,251282.9,29839.999999999996
NSE_FO|42963,NSE_INDEX|Nifty 50,24200.0,CE,506.85,295240.1,50685.0
NSE_FO|42964,NSE_INDEX|Nifty 50,24200.0,PE,320.0,255780.3,32000.0
NSE_FO|42965,NSE_INDEX|Nifty 50,24250.0,CE,472.5,289936.2,47250.0
NSE_FO|42966,NSE_INDEX|Nifty 50,24250.0,PE,340.05,260540.5,34005.0
NSE_FO|42967,NSE_INDEX|Nifty 50,24300.0,CE,445.0,285076.7,44500.0
NSE_FO|42968,NSE_INDEX|Nifty 50,24300.0,PE,360.05,264912.5,36005.0
NSE_FO|42973,NSE_INDEX|Nifty 50,24350.0,CE,417.6,280048.1,41760.0
NSE_FO|45607,NSE_INDEX|Nifty 50,24350.0,PE,380.0,269544.7,38000.0
NSE_FO|45637,NSE_INDEX|Nifty 50,24400.0,CE,388.85,275133.4,38885.0
NSE_FO|45638,NSE_INDEX|Nifty 50,24400.0,PE,401.1,274187.9,40110.0
NSE_FO|45748,NSE_INDEX|Nifty 50,24450.0,CE,361.75,269951.9,36175.0
NSE_FO|45749,NSE_INDEX|Nifty 50,24450.0,PE,421.8,279065.2,42180.0
NSE_FO|46181,NSE_INDEX|Nifty 50,24500.0,CE,334.05,264993.8,33405.0
NSE_FO|46182,NSE_INDEX|Nifty 50,24500.0,PE,452.0,283492.5,45200.0
NSE_FO|46185,NSE_INDEX|Nifty 50,24550.0,CE,311.85,260167.2,31185.000000000004
NSE_FO|46186,NSE_INDEX|Nifty 50,24550.0,PE,476.15,288532.1,47615.0
NSE_FO|46472,NSE_INDEX|Nifty 50,24600.0,CE,286.0,255259.7,28600.0
NSE_FO|46473,NSE_INDEX|Nifty 50,24600.0,PE,502.0,293241.9,50200.0
NSE_FO|46474,NSE_INDEX|Nifty 50,24650.0,CE,265.8,250451.7,26580.0
NSE_FO|46475,NSE_INDEX|Nifty 50,24650.0,PE,529.95,298023.7,52995.00000000001
NSE_FO|46476,NSE_INDEX|Nifty 50,24700.0,CE,244.4,245665.7,24440.0
NSE_FO|46479,NSE_INDEX|Nifty 50,24700.0,PE,560.0,302782.9,56000.0
NSE_FO|47236,NSE_INDEX|Nifty 50,24750.0,CE,224.95,240859.7,22495.0
NSE_FO|47237,NSE_INDEX|Nifty 50,24750.0,PE,589.0,307462.8,58900.0
NSE_FO|47239,NSE_INDEX|Nifty 50,24800.0,CE,205.2,236250.5,20520.0
NSE_FO|47244,NSE_INDEX|Nifty 50,24800.0,PE,616.3,312725.8,61629.99999999999
NSE_FO|47245,NSE_INDEX|Nifty 50,24850.0,CE,188.35,231633.6,18835.0
NSE_FO|47246,NSE_INDEX|Nifty 50,24850.0,PE,630.05,313052.6,63004.99999999999
NSE_FO|47612,NSE_INDEX|Nifty 50,24900.0,CE,170.8,226909.2,17080.0
NSE_FO|47616,NSE_INDEX|Nifty 50,24900.0,PE,686.0,322413.5,68600.0
NSE_FO|47618,NSE_INDEX|Nifty 50,24950.0,CE,155.15,222520.6,15515.0
NSE_FO|47619,NSE_INDEX|Nifty 50,24950.0,PE,708.0,323337.8,70800.0
NSE_FO|47620,NSE_INDEX|Nifty 50,25000.0,CE,140.0,218073.2,14000.0
NSE_FO|47621,NSE_INDEX|Nifty 50,25000.0,PE,756.6,332344.7,75660.0
NSE_FO|47805,NSE_INDEX|Nifty 50,25050.0,CE,126.25,213614.7,12625.0
NSE_FO|47806,NSE_INDEX|Nifty 50,25050.0,PE,781.55,337006.8,78155.0
NSE_FO|47807,NSE_INDEX|Nifty 50,25100.0,CE,114.05,209310.6,11405.0
NSE_FO|47808,NSE_INDEX|Nifty 50,25100.0,PE,824.55,342474.2,82455.0
NSE_FO|47841,NSE_INDEX|Nifty 50,25150.0,CE,102.6,205096.5,10260.0
NSE_FO|47842,NSE_INDEX|Nifty 50,25150.0,PE,851.3,344093.3,85130.0
NSE_FO|47909,NSE_INDEX|Nifty 50,25200.0,CE,91.3,200894.6,9130.0
NSE_FO|47915,NSE_INDEX|Nifty 50,25200.0,PE,904.65,352360.7,90465.0
NSE_FO|47960,NSE_INDEX|Nifty 50,25250.0,CE,81.6,196792.4,8159.999999999999
NSE_FO|47961,NSE_INDEX|Nifty 50,25250.0,PE,921.3,354549.3,92130.0
NSE_FO|47962,NSE_INDEX|Nifty 50,25300.0,CE,71.8,192704.2,7180.0
NSE_FO|47966,NSE_INDEX|Nifty 50,25300.0,PE,977.75,363021.7,97775.0
NSE_FO|47967,NSE_INDEX|Nifty 50,25350.0,CE,64.7,188705.0,6470.0
NSE_FO|47974,NSE_INDEX|Nifty 50,25350.0,PE,1017.85,365046.4,101785.0
NSE_FO|47975,NSE_INDEX|Nifty 50,25400.0,CE,56.85,184824.4,5685.0
NSE_FO|47978,NSE_INDEX|Nifty 50,25400.0,PE,1062.1,373177.7,106209.99999999999
NSE_FO|47990,NSE_INDEX|Nifty 50,25450.0,CE,51.55,181099.8,5155.0
NSE_FO|48002,NSE_INDEX|Nifty 50,25450.0,PE,1099.6,378503.2,109959.99999999999
NSE_FO|48003,NSE_INDEX|Nifty 50,25500.0,CE,46.4,177387.9,4640.0
NSE_FO|48006,NSE_INDEX|Nifty 50,25500.0,PE,1155.0,383952.4,115500.0
NSE_FO|48007,NSE_INDEX|Nifty 50,25550.0,CE,40.7,173561.5,4070.0000000000005
